log10eta	R0	mean_logL	sim_no
-5.599999999999998	1.5	-49.13891543548109	10
-5.599999999999998	1.6	-39.5904292981253	10
-5.599999999999998	1.7	-44.94992181158936	10
-5.599999999999998	1.8	-37.55876067220216	10
-5.599999999999998	1.9	-34.80954346524585	10
-5.599999999999998	2.0	-32.5120686744354	10
-5.599999999999998	2.1	-31.96913335854051	10
-5.599999999999998	2.2	-33.25342553381488	10
-5.599999999999998	2.3	-31.18917103871553	10
-5.599999999999998	2.4	-31.2935803498582	10
-5.599999999999998	2.5	-31.113642551593806	10
-5.599999999999998	2.6	-30.79075307995738	10
-5.599999999999998	2.7	-30.251807635066378	10
-5.599999999999998	2.8	-29.785137866129208	10
-5.599999999999998	2.9	-29.77668019749899	10
-5.599999999999998	3.0	-30.272250932254146	10
-5.599999999999998	3.1	-30.326916631936587	10
-5.599999999999998	3.2	-30.045442269323143	10
-5.599999999999998	3.3	-30.602697107327373	10
-5.599999999999998	3.4	-30.501001317938268	10
-5.599999999999998	3.5	-31.274046213588967	10
-5.599999999999998	3.6	-29.91748042259572	10
-5.599999999999998	3.7	-31.61605808496828	10
-5.599999999999998	3.8	-31.600161712481075	10
-5.599999999999998	3.9	-30.623380628545863	10
-5.599999999999998	4.0	-32.274678721619544	10
-5.399999999999998	1.0		10
-5.399999999999998	1.1		10
-5.399999999999998	1.2		10
-5.399999999999998	1.3	-56.56797729755404	10
-5.399999999999998	1.4	-50.119657139122	10
-5.399999999999998	1.5	-44.00156993985104	10
-5.399999999999998	1.6	-38.43681074947138	10
-5.399999999999998	1.7	-40.63056965018383	10
-5.399999999999998	1.8	-34.007558229853984	10
-5.399999999999998	1.9	-34.38962695504232	10
-5.399999999999998	2.0	-32.59973634126371	10
-5.399999999999998	2.1	-31.856334403521675	10
-5.399999999999998	2.2	-30.65776096754405	10
-5.399999999999998	2.3	-30.671440359344444	10
-5.399999999999998	2.4	-30.572298805812046	10
-5.399999999999998	2.5	-30.52652255725149	10
-5.399999999999998	2.6	-30.027063365637957	10
-5.399999999999998	2.7	-29.878701771320955	10
-5.399999999999998	2.8	-29.9222335235949	10
-5.399999999999998	2.9	-29.871062677466448	10
-5.399999999999998	3.0	-29.80375750222484	10
-5.399999999999998	3.1	-30.09219443035363	10
-5.399999999999998	3.2	-30.444383117166513	10
-5.399999999999998	3.3	-29.62420403733025	10
-5.399999999999998	3.4	-29.774872307525857	10
-5.399999999999998	3.5	-29.952581456780837	10
-5.399999999999998	3.6	-30.100901772377604	10
-5.399999999999998	3.7	-30.332993539306948	10
-5.399999999999998	3.8	-30.166609619512162	10
-5.399999999999998	3.9	-29.806745221181206	10
-5.399999999999998	4.0	-30.12072859988562	10
-5.1999999999999975	1.0		10
-5.1999999999999975	1.1	-71.39257345059994	10
-5.1999999999999975	1.2	-inf	10
-5.1999999999999975	1.3	-57.515625261011316	10
-5.1999999999999975	1.4	-49.73058081349147	10
-5.1999999999999975	1.5	-51.62930817370394	10
-5.1999999999999975	1.6	-38.74121177399444	10
-5.1999999999999975	1.7	-36.38975044875105	10
-5.1999999999999975	1.8	-35.18891608141145	10
-5.1999999999999975	1.9	-33.804343680115714	10
-5.1999999999999975	2.0	-31.085639473595727	10
-5.1999999999999975	2.1	-31.21701013290981	10
-5.1999999999999975	2.2	-30.8677539956871	10
-5.1999999999999975	2.3	-31.513029581254756	10
-5.1999999999999975	2.4	-30.6637084971017	10
-5.1999999999999975	2.5	-29.965589175882496	10
-5.1999999999999975	2.6	-30.301213325443854	10
-5.1999999999999975	2.7	-29.898120597367768	10
-5.1999999999999975	2.8	-30.18015342309227	10
-5.1999999999999975	2.9	-29.90247423196695	10
-5.1999999999999975	3.0	-30.387917938093988	10
-5.1999999999999975	3.1	-30.036987327270985	10
-5.1999999999999975	3.2	-30.399597360110914	10
-5.1999999999999975	3.3	-29.618254419755573	10
-5.1999999999999975	3.4	-29.829624787364104	10
-5.1999999999999975	3.5	-29.836094175643826	10
-5.1999999999999975	3.6	-30.32291278761395	10
-5.1999999999999975	3.7	-29.991309851401674	10
-5.1999999999999975	3.8	-29.585534008281257	10
-5.1999999999999975	3.9	-30.021414253994777	10
-5.1999999999999975	4.0	-29.62182596752724	10
-4.999999999999997	1.0		10
-4.999999999999997	1.1	-78.8791287449064	10
-4.999999999999997	1.2	-67.60584303687111	10
-4.999999999999997	1.3	-61.95477180882758	10
-4.999999999999997	1.4	-53.993377795121	10
-4.999999999999997	1.5	-42.36550660696876	10
-4.999999999999997	1.6	-40.385558117227305	10
-4.999999999999997	1.7	-37.40481000597296	10
-4.999999999999997	1.8	-35.023438530085755	10
-4.999999999999997	1.9	-33.327894339378815	10
-4.999999999999997	2.0	-31.94361703583702	10
-4.999999999999997	2.1	-31.077474438794788	10
-4.999999999999997	2.2	-31.116474681052317	10
-4.999999999999997	2.3	-30.422340468409896	10
-4.999999999999997	2.4	-30.47835671349315	10
-4.999999999999997	2.5	-29.80846152432482	10
-4.999999999999997	2.6	-29.57810434487799	10
-4.999999999999997	2.7	-29.93413216668095	10
-4.999999999999997	2.8	-30.072961890106303	10
-4.999999999999997	2.9	-29.951119567466655	10
-4.999999999999997	3.0	-29.803196094888307	10
-4.999999999999997	3.1	-30.0975688405348	10
-4.999999999999997	3.2	-29.663757185286727	10
-4.999999999999997	3.3	-30.024595996119274	10
-4.999999999999997	3.4	-29.839585524703473	10
-4.999999999999997	3.5	-29.621932299371572	10
-4.999999999999997	3.6	-29.63652852139817	10
-4.999999999999997	3.7	-29.762972219260707	10
-4.999999999999997	3.8	-29.933558498987804	10
-4.999999999999997	3.9	-29.763382869583545	10
-4.999999999999997	4.0	-30.010425625109782	10
-4.799999999999997	1.0		10
-4.799999999999997	1.1	-67.50566664326139	10
-4.799999999999997	1.2	-60.97728121939184	10
-4.799999999999997	1.3	-54.974143866691804	10
-4.799999999999997	1.4	-48.1817744826809	10
-4.799999999999997	1.5	-42.9304223623012	10
-4.799999999999997	1.6	-40.0088430809152	10
-4.799999999999997	1.7	-37.502677087040006	10
-4.799999999999997	1.8	-32.95763489958098	10
-4.799999999999997	1.9	-32.28702264723531	10
-4.799999999999997	2.0	-31.592039157855083	10
-4.799999999999997	2.1	-31.20488808816487	10
-4.799999999999997	2.2	-31.163352916607085	10
-4.799999999999997	2.3	-30.048146165342086	10
-4.799999999999997	2.4	-30.359167444387417	10
-4.799999999999997	2.5	-30.244809303912376	10
-4.799999999999997	2.6	-29.794565684681363	10
-4.799999999999997	2.7	-29.497587811931176	10
-4.799999999999997	2.8	-29.931175337390112	10
-4.799999999999997	2.9	-29.593669805736557	10
-4.799999999999997	3.0	-29.079323089812853	10
-4.799999999999997	3.1	-29.24378490202372	10
-4.799999999999997	3.2	-29.727147071319582	10
-4.799999999999997	3.3	-29.637888842334995	10
-4.799999999999997	3.4	-29.03891576273869	10
-4.799999999999997	3.5	-29.859972546192466	10
-4.799999999999997	3.6	-30.156505093040757	10
-4.799999999999997	3.7	-29.745234453799856	10
-4.799999999999997	3.8	-29.60707648489737	10
-4.799999999999997	3.9	-31.15324205423398	10
-4.799999999999997	4.0	-31.153071767180627	10
-4.599999999999997	1.0	-83.66721398232532	10
-4.599999999999997	1.1	-67.07231241532611	10
-4.599999999999997	1.2	-57.02782503476904	10
-4.599999999999997	1.3	-52.9039862264562	10
-4.599999999999997	1.4	-45.87095593480784	10
-4.599999999999997	1.5	-43.230336615407516	10
-4.599999999999997	1.6	-36.414685383010145	10
-4.599999999999997	1.7	-35.03960444930655	10
-4.599999999999997	1.8	-33.879586062724115	10
-4.599999999999997	1.9	-32.231588535604274	10
-4.599999999999997	2.0	-32.36793471123455	10
-4.599999999999997	2.1	-31.55887885117147	10
-4.599999999999997	2.2	-30.72399947695764	10
-4.599999999999997	2.3	-30.636903965430843	10
-4.599999999999997	2.4	-30.187901540326315	10
-4.599999999999997	2.5	-29.961532802206033	10
-4.599999999999997	2.6	-29.68194363634016	10
-4.599999999999997	2.7	-29.56900334634498	10
-4.599999999999997	2.8	-29.195664952602492	10
-4.599999999999997	2.9	-29.56226405078707	10
-4.599999999999997	3.0	-29.605051395797755	10
-4.599999999999997	3.1	-29.295246034165643	10
-4.599999999999997	3.2	-29.326982558687565	10
-4.599999999999997	3.3	-29.205363111486186	10
-4.599999999999997	3.4	-29.26717417168377	10
-4.599999999999997	3.5	-29.970075073088157	10
-4.599999999999997	3.6	-30.174188642825335	10
-4.599999999999997	3.7	-50.10263750990549	10
-4.599999999999997	3.8	-30.385621987376886	10
-4.599999999999997	3.9	-30.236653669770288	10
-4.599999999999997	4.0	-31.171956808036292	10
-4.399999999999997	1.0	-79.11747864092752	10
-4.399999999999997	1.1	-70.81768982214092	10
-4.399999999999997	1.2	-57.03412929308597	10
-4.399999999999997	1.3	-52.99030905966208	10
-4.399999999999997	1.4	-44.836536707400086	10
-4.399999999999997	1.5	-43.733548304031906	10
-4.399999999999997	1.6	-40.07949122989575	10
-4.399999999999997	1.7	-36.02049261431665	10
-4.399999999999997	1.8	-34.748037171659725	10
-4.399999999999997	1.9	-32.98867031087213	10
-4.399999999999997	2.0	-31.532050058123758	10
-4.399999999999997	2.1	-31.301743744762387	10
-4.399999999999997	2.2	-30.87345512565115	10
-4.399999999999997	2.3	-30.31193110522762	10
-4.399999999999997	2.4	-30.138240695492073	10
-4.399999999999997	2.5	-29.373064601370316	10
-4.399999999999997	2.6	-29.40365655079487	10
-4.399999999999997	2.7	-29.237844229420908	10
-4.399999999999997	2.8	-29.177508075059638	10
-4.399999999999997	2.9	-29.025785256409723	10
-4.399999999999997	3.0	-29.183254083863318	10
-4.399999999999997	3.1	-29.20126632358656	10
-4.399999999999997	3.2	-29.30275100551676	10
-4.399999999999997	3.3	-30.032168663081016	10
-4.399999999999997	3.4	-29.457842922347037	10
-4.399999999999997	3.5	-30.21839932126132	10
-4.399999999999997	3.6	-31.159648167859352	10
-4.399999999999997	3.7	-31.598610310904423	10
-4.399999999999997	3.8	-30.97249250021872	10
-4.399999999999997	3.9	-32.37042608600139	10
-4.399999999999997	4.0	-33.27958581129484	10
-4.199999999999997	1.0	-80.5942529044677	10
-4.199999999999997	1.1	-70.64296259195382	10
-4.199999999999997	1.2	-60.63801347681874	10
-4.199999999999997	1.3	-54.53222665399278	10
-4.199999999999997	1.4	-46.938322718230076	10
-4.199999999999997	1.5	-42.416462786999006	10
-4.199999999999997	1.6	-40.146589772141816	10
-4.199999999999997	1.7	-36.52728544099066	10
-4.199999999999997	1.8	-33.19553292814501	10
-4.199999999999997	1.9	-32.715657382384926	10
-4.199999999999997	2.0	-31.593140041201718	10
-4.199999999999997	2.1	-31.67721836799103	10
-4.199999999999997	2.2	-30.72661864824003	10
-4.199999999999997	2.3	-30.065127224431443	10
-4.199999999999997	2.4	-29.590833352712583	10
-4.199999999999997	2.5	-29.255046369309667	10
-4.199999999999997	2.6	-28.917864152004427	10
-4.199999999999997	2.7	-29.04520039078995	10
-4.199999999999997	2.8	-28.95987120725991	10
-4.199999999999997	2.9	-28.93146595271139	10
-4.199999999999997	3.0	-29.187931271988464	10
-4.199999999999997	3.1	-29.30863216452758	10
-4.199999999999997	3.2	-29.419548878475673	10
-4.199999999999997	3.3	-30.03704979678735	10
-4.199999999999997	3.4	-31.110277719713803	10
-4.199999999999997	3.5	-31.86048457178372	10
-4.199999999999997	3.6	-34.63900985724424	10
-4.199999999999997	3.7	-33.05515460776964	10
-4.199999999999997	3.8	-33.5669093726832	10
-4.199999999999997	3.9	-35.0608043378511	10
-4.199999999999997	4.0	-37.1060839521903	10
-3.9999999999999964	1.0	-80.67840575624174	10
-3.9999999999999964	1.1	-67.51482944152401	10
-3.9999999999999964	1.2	-64.28130668380325	10
-3.9999999999999964	1.3	-55.93486840190252	10
-3.9999999999999964	1.4	-51.22868747135059	10
-3.9999999999999964	1.5	-44.94433463822701	10
-3.9999999999999964	1.6	-37.9317778069413	10
-3.9999999999999964	1.7	-36.59305803785539	10
-3.9999999999999964	1.8	-34.44566903500539	10
-3.9999999999999964	1.9	-33.03579070112811	10
-3.9999999999999964	2.0	-32.2985684060749	10
-3.9999999999999964	2.1	-31.064155388621835	10
-3.9999999999999964	2.2	-30.421134029107385	10
-3.9999999999999964	2.3	-30.241954940051777	10
-3.9999999999999964	2.4	-29.84996868951971	10
-3.9999999999999964	2.5	-29.066748276424157	10
-3.9999999999999964	2.6	-28.912609851530174	10
-3.9999999999999964	2.7	-28.92550929004825	10
-3.9999999999999964	2.8	-28.97691310269203	10
-3.9999999999999964	2.9	-28.911007658395157	10
-3.9999999999999964	3.0	-29.902026262719197	10
-3.9999999999999964	3.1	-29.868261169163464	10
-3.9999999999999964	3.2	-30.62554504278527	10
-3.9999999999999964	3.3	-31.54429977108565	10
-3.9999999999999964	3.4	-32.41516708714265	10
-3.9999999999999964	3.5	-33.85529043607126	10
-3.9999999999999964	3.6	-36.18382199425486	10
-3.9999999999999964	3.7	-37.685072007302686	10
-3.9999999999999964	3.8	-38.61806302743333	10
-3.9999999999999964	3.9	-40.698175035359455	10
-3.9999999999999964	4.0	-42.30196863970538	10
-3.7999999999999963	1.0	-80.75496814095398	10
-3.7999999999999963	1.1	-75.00108158761955	10
-3.7999999999999963	1.2	-66.05243367582655	10
-3.7999999999999963	1.3	-59.265259322877796	10
-3.7999999999999963	1.4	-48.290078845770765	10
-3.7999999999999963	1.5	-44.539053968704074	10
-3.7999999999999963	1.6	-43.170186775208585	10
-3.7999999999999963	1.7	-37.01219696487973	10
-3.7999999999999963	1.8	-35.50441045499146	10
-3.7999999999999963	1.9	-33.39606971750753	10
-3.7999999999999963	2.0	-32.50319725315375	10
-3.7999999999999963	2.1	-31.15416939218581	10
-3.7999999999999963	2.2	-30.276317700286274	10
